Rank,Park,State,Names,Range,Elevation,Low,Low-Elevation
1,Denali,Alaska,Denali,Alaska Range,20310,Yentna River,240
2,Wrangell-St. Elias,Alaska,Mt Saint Elias,Saint Elias Mountains,18008,Gulf of Alaska,0
3,Glacier Bay,Alaska,Mt Fairweather,Saint Elias Mountains,15300,Gulf of Alaska,0
4,Sequoia,California,Mt Whitney,Sierra Nevada,14505,Kaweah River,1360
5,Mount Rainier,Washington,Mt Rainier,Cascade Range,14411,Ohanapecosh River,1610
6,Rocky Mountain,Colorado,Longs Peak,Front Range,14259,Big Thompson River,7630
7,Kings Canyon,California,North Palisade,Sierra Nevada,14242,Kaweah River (North Fork,3480
8,Grand Teton,Wyoming,Grand Teton,Teton Range,13770,Fish Creek,6310
9,Hawaii Volcanoes,Hawaii,Mauna Loa,Hawaiian Islands,13679,Pacific Ocean,0
10,Great Sand Dunes,Colorado,Tijeras Peak,Sangre de Cristo Range,13610,near San Luis Lakes,7520
